BTC,Gold,Oil
0.553798211,0.00469888,-0.01969824
-4.123843662,0.001860465,0.006196581
0.769404898,-0.001700417,0.033667164
-0.84179006,0.005895586,-0.02770936
-1.305684507,-0.004702799,0.004004215
0.597609562,0.0033323,0.016162888
1.831930693,-0.00308642,-0.019230769
4.075476248,0.005111128,0.005249895
-0.818580124,0.013640567,-0.027563166
1.325247447,-0.001211662,-0.008962868
-0.519329442,-0.0005324,-0.007557763
1.779114202,0.006163914,0.027856366
5.370895685,-0.006941853,0.004460493
-0.205498059,0.003507986,0.000211372
3.726559447,-0.004460967,0.002113718
3.092183399,0.008439134,0.029187817
-6.755821324,-0.002067947,0.011730809
0.012864589,-0.004323518,-0.001017501
-8.987569367,0.00075092,-0.032796904
6.318526797,-0.006136806,0.010298445
5.800540022,0.001280506,0.002285952
1.555055771,-0.006373247,0.01985933
-8.714612738,-0.009969789,0.01176232
-0.560147567,7.63E-05,0.003419147
-3.015865934,0.001293071,0.001203611
1.320534859,-0.00766401,-0.008615508
-1.066387872,0.002627309,0.011436597
-5.169338321,0.007683442,-0.003351735
-19.14249493,-0.00951149,-0.001379854
16.05986179,-0.007322901,0.03038674
1.114313788,0.002801338,-0.004604758
0.400517742,-0.004108209,0.000959877
9.349864499,-0.004991421,-0.009414025
-3.693596059,0.001178226,0.001744862
-0.256774867,0.001804629,-0.020526723
-7.197961948,-0.003365949,-0.003360348
0.084334398,0.003384228,-0.003588517
5.120304348,0.005005475,0.018243785
-3.162289591,0.005439851,-0.028768473
7.123731564,-0.001394592,0.006700508
-1.162169043,0.001467635,0.02764884
8.001318785,0.006635802,0.007067138
-0.420074855,-0.00229709,-0.007843137
-0.102656629,-0.008479803,0.014192785
4.874491018,-0.003030539,0.008555318
-0.000228389,0.005612722,-0.000962835
-0.454545455,-0.008900929,0.001925298
-1.598173516,-0.000468201,-0.014601345
-2.463788269,-0.00436171,0.000972384
1.992116124,0.000782473,-0.003264836
1.157909604,-0.007038949,0.011177491
1.235980774,0.002996845,-0.007229833
4.858757062,0.002668132,0.008622341
3.167025862,-0.005557295,0.020833333
-0.081262599,0.004324579,-0.000184638
0.802206119,0.002274153,0.005547337
12.62218885,-0.006497065,-0.006404392
3.86011739,0.008577949,0.004789978
3.893628319,-0.005301731,0.016627078
-2.477186283,0.00571921,0.024656066
0.876007005,0.001166407,-0.00122228
-2.864583333,-0.009175739,-0.002633427
-1.482394996,0.002822865,0.005628848
3.099945583,0.003127688,-0.004910558
5.748410697,-0.002342469,-0.002460457
0.187072228,0.000156495,-0.017983075
-0.887016576,0.013841101,0.004903741
-0.988619247,-0.014527471,-0.002893309
-7.317745923,0.003994987,0.023529412
3.324362802,0.000540082,-0.010583877
3.380363662,-0.003317645,0.007981554
-1.585527921,0.005340557,0.015756303
-0.851998426,0.000307977,0.007072624
8.056070249,-0.009090909,0.015503876
-0.203978145,-0.007926024,-0.014249364
5.595602988,0.003443149,0.002246803
4.50224354,7.83E-05,-0.007448467
3.938418532,-0.011101556,-0.000174186
1.493942493,-0.001734605,0.016370603
3.402239207,-0.009563705,-0.01457476
-0.166637897,-0.000880352,0.00243563
-5.241317341,-0.001841178,-0.025935596
1.179079081,-0.001768631,0.012321429
3.295615276,0.001845463,0.012533098
-3.05380932,-0.000794849,0.012925764
